modality,contrast,roi,window,start_ms,end_ms,n_subjects,n_timepoints,mean_difference,sem_average,peak_positive,peak_positive_time_ms,peak_negative,peak_negative_time_ms,abs_peak,abs_peak_time_ms,window_area,source_file
scalp_main,emotional_vs_neutral,face_roi,W4,320.0,600.0,11,71,0.18740956720006274,1.0052079517674657,1.4221335662040255,340.0,-0.466280172550117,452.0,1.4221335662040255,340.0,53.549330368704695,reports\erp_diff\scalp_main_emotional_vs_neutral_face_roi_grand_average.csv
scalp_main,face_vs_nonface,central_roi,W1,80.0,130.0,11,13,0.20928912407786265,0.6691873096282662,1.069872513276772,80.0,-0.4826663854310768,108.0,1.069872513276772,80.0,7.5673752762835464,reports\erp_diff\scalp_main_face_vs_nonface_central_roi_grand_average.csv
scalp_main,face_vs_nonface,central_roi,W2,130.0,220.0,11,23,0.37286044752076597,0.4624124502508559,1.0678297462715702,220.0,-0.1676040322888563,192.0,1.0678297462715702,220.0,30.574141412214743,reports\erp_diff\scalp_main_face_vs_nonface_central_roi_grand_average.csv
scalp_main,face_vs_nonface,central_roi,W3,220.0,320.0,11,26,1.3898795780046216,0.5265439287439269,2.07178152365687,292.0,0.7144141496259925,320.0,2.07178152365687,292.0,140.98298832068554,reports\erp_diff\scalp_main_face_vs_nonface_central_roi_grand_average.csv
scalp_main,face_vs_nonface,central_roi,W4,320.0,600.0,11,71,1.0679202057906858,0.6035901084749832,1.5724163406530636,428.0,0.4066191935995394,328.0,1.5724163406530636,428.0,299.5136078325303,reports\erp_diff\scalp_main_face_vs_nonface_central_roi_grand_average.csv
scalp_main,face_vs_nonface,face_roi,W1,80.0,130.0,11,13,2.0800395290192215,0.6921008628899409,3.4008813899222816,96.0,0.3635120060677698,128.0,3.4008813899222816,96.0,102.6402211085887,reports\erp_diff\scalp_main_face_vs_nonface_face_roi_grand_average.csv
scalp_main,face_vs_nonface,face_roi,W2,130.0,220.0,11,23,-0.7445111691817418,0.6924031338146296,0.2688499105848176,132.0,-1.4591852941578431,184.0,-1.4591852941578431,184.0,-69.3105107776322,reports\erp_diff\scalp_main_face_vs_nonface_face_roi_grand_average.csv
scalp_main,face_vs_nonface,face_roi,W3,220.0,320.0,11,26,-0.9302727353237811,1.2442969347322133,0.2003025904704605,224.0,-1.6964041885741656,268.0,-1.6964041885741656,268.0,-95.21941665734415,reports\erp_diff\scalp_main_face_vs_nonface_face_roi_grand_average.csv
scalp_main,face_vs_nonface,face_roi,W4,320.0,600.0,11,71,2.1957941673593564,1.5220993368474882,5.338250540464987,592.0,-1.1906882711039166,328.0,5.338250540464987,592.0,615.5628794844963,reports\erp_diff\scalp_main_face_vs_nonface_face_roi_grand_average.csv
scalp_main,face_vs_nonface,late_roi,W1,80.0,130.0,11,13,0.04531577952853883,0.6734550455271375,1.0271121451621807,80.0,-0.7106143299436202,108.0,1.0271121451621807,80.0,-0.4903805976294471,reports\erp_diff\scalp_main_face_vs_nonface_late_roi_grand_average.csv
scalp_main,face_vs_nonface,late_roi,W2,130.0,220.0,11,23,-0.14156640217735955,0.5093022616598831,0.943696239137592,140.0,-1.126422468139996,192.0,-1.126422468139996,192.0,-15.582514135411841,reports\erp_diff\scalp_main_face_vs_nonface_late_roi_grand_average.csv
scalp_main,face_vs_nonface,late_roi,W3,220.0,320.0,11,26,1.2379279122950015,0.786901849337993,2.0799163484761376,292.0,0.661255292733347,220.0,2.0799163484761376,292.0,125.58829610338125,reports\erp_diff\scalp_main_face_vs_nonface_late_roi_grand_average.csv
scalp_main,face_vs_nonface,late_roi,W4,320.0,600.0,11,71,2.0794715942691395,0.7620665945753065,2.870518962672301,540.0,0.6849381565656213,328.0,2.870518962672301,540.0,583.8330972268195,reports\erp_diff\scalp_main_face_vs_nonface_late_roi_grand_average.csv
