time_ms,mean_diff,sem,n_subjects
-200.0,-0.04857398029426947,0.2852756631007875,11
-196.0,0.04205382303503294,0.2564945069864347,11
-192.0,0.0385396957097596,0.3049154771891985,11
-188.0,-0.06708143203024003,0.3104114728264397,11
-184.0,-0.1952168644060679,0.27217712009496225,11
-180.0,-0.28086903226230153,0.23699941275054417,11
-176.0,-0.2172555465877798,0.26734458624369056,11
-172.0,-0.018227202473268558,0.3725167636790156,11
-168.0,0.2294909293393639,0.49992502164051794,11
-164.0,0.32362266118298505,0.5551560339177659,11
-160.0,0.17833953968935687,0.5166073736604424,11
-156.0,-0.1521374847730158,0.38670556420906255,11
-152.0,-0.41205691398099875,0.2579291040158641,11
-148.0,-0.4197689410109449,0.2843215317101797,11
-144.0,-0.15703708650604678,0.43574701553521455,11
-140.0,0.13067328169063933,0.5254243544941954,11
-136.0,0.2148830516458842,0.4277541276080444,11
-132.0,0.009064515087337981,0.24544529710658666,11
-128.0,-0.29321883590928516,0.34644758849007723,11
-124.0,-0.474878333835122,0.5265889111648653,11
-120.0,-0.41603545662889874,0.5758886930313698,11
-116.0,-0.2525423968966071,0.5307242255554316,11
-112.0,-0.15271145479534726,0.46958158752374024,11
-108.0,-0.2264154797435788,0.44981770740612154,11
-104.0,-0.37138985551443326,0.5002162827382695,11
-100.0,-0.46801764169698984,0.5243618983736366,11
-96.0,-0.4291527964462242,0.47995645953630595,11
-92.0,-0.33210575344080157,0.424804716531446,11
-88.0,-0.24313395977706123,0.4121384300844288,11
-84.0,-0.20897634634210635,0.4385643477637092,11
-80.0,-0.15206344837055139,0.4383107178161076,11
-76.0,-0.04151344921792597,0.37799269100640215,11
-72.0,0.1229764775964036,0.3813060636832359,11
-68.0,0.22819013642938987,0.5166397351090524,11
-64.0,0.22577050048822223,0.5738468492583867,11
-60.0,0.11358397230723453,0.49851782749759754,11
-56.0,0.016993880082040082,0.36428131187553786,11
-52.0,0.013657353424319296,0.29809186311592767,11
-48.0,0.14523462925618683,0.3251587633436578,11
-44.0,0.31062577898842764,0.41285866349079264,11
-40.0,0.42248533505060093,0.483618995705686,11
-36.0,0.39887870412739534,0.4881184453129613,11
-32.0,0.29394804561072596,0.4078077596062978,11
-28.0,0.17191437633301734,0.29066792833660177,11
-24.0,0.12839705723334063,0.28457016294204684,11
-20.0,0.1507489044656625,0.3660429024746116,11
-16.0,0.22499325521469474,0.379365981159109,11
-12.0,0.2966554313060971,0.343702712968326,11
-8.0,0.39661011421744985,0.41310915970559275,11
-4.0,0.5229491866402107,0.5365852508932637,11
0.0,0.6790989907470489,0.610849075870676,11
4.0,0.7652285774473079,0.6111656021760041,11
8.0,0.7259765594618167,0.5631835337399042,11
12.0,0.5422594838449925,0.49356188939637524,11
16.0,0.3466395278009266,0.4546064620930959,11
20.0,0.2511411809382036,0.5030649212954695,11
24.0,0.32431533513525684,0.6604573038113863,11
28.0,0.4563999877043241,0.8036654647932884,11
32.0,0.5291608236071538,0.8152302524894088,11
36.0,0.45083427295246525,0.7135598123351753,11
40.0,0.30239548984672193,0.5919161325967632,11
44.0,0.17736794179443197,0.5431788159623334,11
48.0,0.16109365301481424,0.608196427973134,11
52.0,0.18996278204778705,0.7804987498854915,11
56.0,0.1997272276471306,0.914701044379384,11
60.0,0.12263300235504171,0.9121631103944212,11
64.0,0.008302323090087282,0.7672398797235026,11
68.0,-0.12045787879545626,0.582819913063799,11
72.0,-0.23316711450057628,0.4689187916669324,11
76.0,-0.380914719810947,0.4937245386461195,11
80.0,-0.5479443479874228,0.5725700376979214,11
84.0,-0.713750713457179,0.6179397069904682,11
88.0,-0.7969682790613581,0.5578822841308636,11
92.0,-0.8118113422344725,0.4560892108505156,11
96.0,-0.788461424861356,0.38513504979746843,11
100.0,-0.8085813036897552,0.351406963281587,11
104.0,-0.8493752217890972,0.3433887970203128,11
108.0,-0.8828416011707738,0.376479003575843,11
112.0,-0.856337782432663,0.4154610058442469,11
116.0,-0.8435402663731633,0.44039912989977864,11
120.0,-0.9167134155546013,0.43836665216260945,11
124.0,-1.137015602507545,0.4292160361239741,11
128.0,-1.397436949728271,0.4629562653563102,11
132.0,-1.5630318794281608,0.5099569811887373,11
136.0,-1.5063339124395696,0.48496299959624395,11
140.0,-1.2896988166283172,0.41128638966078623,11
144.0,-1.0375658639780023,0.34265028243433404,11
148.0,-0.9002158290937825,0.3131505347466606,11
152.0,-0.8594040733011826,0.2939048681196179,11
156.0,-0.8323151239979265,0.265957559313325,11
160.0,-0.6845952681396322,0.26066019123059,11
164.0,-0.42075067258000265,0.4021274964713296,11
168.0,-0.09822859945126326,0.6357466233946399,11
172.0,0.15476448062438797,0.8138864160835455,11
176.0,0.30711773556972144,0.858910146716194,11
180.0,0.34419789253609,0.8002995865888218,11
184.0,0.32161540413046524,0.7429063281496492,11
188.0,0.2378278216367854,0.7635005873081055,11
192.0,0.132621399733843,0.8659107938861004,11
196.0,0.019882096961484172,0.981593304257681,11
200.0,-0.02016243341824143,0.9956907050014884,11
204.0,0.027123599071200613,0.892762302060736,11
208.0,0.1633115840155436,0.7889099860107721,11
212.0,0.29054589513375717,0.7970854477156101,11
216.0,0.3593788852339919,0.8735960678211953,11
220.0,0.33111319352728513,0.9612979512967956,11
224.0,0.2784525841240787,1.0201456117460617,11
228.0,0.25049510394461066,0.9998367086739883,11
232.0,0.3129739506508415,0.9196304870227766,11
236.0,0.43669255822728065,0.8794882182569163,11
240.0,0.6089748993819953,0.937429779923258,11
244.0,0.7675208224570628,1.088645039333731,11
248.0,0.9055038243093634,1.2619909488350352,11
252.0,0.980847500002699,1.3667884878749716,11
256.0,1.011330894312222,1.362979463631365,11
260.0,0.9879423639416761,1.3114501152511235,11
264.0,0.9614699341777129,1.2755774850320472,11
268.0,0.9274203051083127,1.2889675072682636,11
272.0,0.8996933256633352,1.3625454929306886,11
276.0,0.8274164251384651,1.4700405416223363,11
280.0,0.7235003330175604,1.5458987601941858,11
284.0,0.5964221961391203,1.5641576185060473,11
288.0,0.5258135730956911,1.5384530108263477,11
292.0,0.5186274589959777,1.5161056399498223,11
296.0,0.5636579704392386,1.507277747197229,11
300.0,0.5559375550389939,1.480206950760517,11
304.0,0.4514756696697923,1.372818117002626,11
308.0,0.23115873125200145,1.1856270572170309,11
312.0,0.0020310642333060225,0.9797185204046702,11
316.0,-0.13856572932376654,0.8698860312322252,11
320.0,-0.07386242469868565,0.9213631974447122,11
324.0,0.18992857442443312,1.118366109866761,11
328.0,0.6051677391620127,1.3713367821366282,11
332.0,1.0182445070562738,1.584837771658063,11
336.0,1.3205900684839487,1.6697131708100206,11
340.0,1.4221335662040255,1.6122942812314363,11
344.0,1.379561837150218,1.4677463268539914,11
348.0,1.2778075959918984,1.327716522132798,11
352.0,1.2430489613426134,1.2517228023889975,11
356.0,1.2745422539563238,1.2579750640307137,11
360.0,1.325486745922743,1.3064103141449481,11
364.0,1.270785506329847,1.3455069481710196,11
368.0,1.0848885627461085,1.3286706238031416,11
372.0,0.7877906457675294,1.243350757366675,11
376.0,0.5039659237102385,1.0828078434874915,11
380.0,0.29978488986919943,0.8831721598120092,11
384.0,0.22602394663596642,0.6967060467472256,11
388.0,0.22155517941114794,0.6180924659977302,11
392.0,0.23947395525188275,0.6659801729044115,11
396.0,0.19976126347101628,0.7805585381682165,11
400.0,0.11424325796704987,0.8898676821359919,11
404.0,0.00445809899496434,0.9651949090939084,11
408.0,-0.030726098871516016,0.9901073816919966,11
412.0,0.04106855006412849,1.0203651649134535,11
416.0,0.22803774841119112,1.1248609223148252,11
420.0,0.4148780073086247,1.2876353612048688,11
424.0,0.5113020416559905,1.3507084926271,11
428.0,0.4383212518978038,1.2117437016577155,11
432.0,0.25735157637523093,0.9120921145646651,11
436.0,0.036782373378181556,0.6087927316657069,11
440.0,-0.13310321496556773,0.42201495550569246,11
444.0,-0.27127849462084586,0.37842309493491827,11
448.0,-0.3780181282269425,0.46522930089568476,11
452.0,-0.466280172550117,0.5965261910412618,11
456.0,-0.4575554565921332,0.6749514379312032,11
460.0,-0.33220753630668154,0.7449445316850873,11
464.0,-0.10218371653137054,0.8715076121738011,11
468.0,0.09789151919987353,1.0558271645823056,11
472.0,0.18507846265142336,1.1669978167371895,11
476.0,0.12159688606385076,1.1555610067696405,11
480.0,0.014262604831745533,1.0657369058261994,11
484.0,-0.05893937683715675,1.0142087414349752,11
488.0,-0.048337104434272214,1.0402644057284056,11
492.0,-0.04084172626516016,1.0934783777450998,11
496.0,-0.09477966686436065,1.0552104433560332,11
500.0,-0.24507290606914942,0.9171956807567941,11
504.0,-0.386758786583021,0.7718645818133408,11
508.0,-0.4317955383434817,0.7087148903939703,11
512.0,-0.311134580885008,0.7324837644788363,11
516.0,-0.11017030927919795,0.870775537737816,11
520.0,0.06699204925069373,1.0259342950912258,11
524.0,0.09857684799560978,1.0844046433893253,11
528.0,0.007563228452291918,1.0347198662175252,11
532.0,-0.13609001516935357,0.9556362397458912,11
536.0,-0.19785670050517146,0.9141078505357584,11
540.0,-0.15549607877347904,0.9217609547992792,11
544.0,-0.034137697481336104,0.937356572470689,11
548.0,0.04855203959197163,0.9655467661968425,11
552.0,0.05300657210366049,1.0206129303153837,11
556.0,-0.03158136618040747,1.0987714810455105,11
560.0,-0.11815719690896338,1.1694417768886558,11
564.0,-0.1748485296707973,1.1891302470164942,11
568.0,-0.1702417570811732,1.1172559462476706,11
572.0,-0.1515563989002276,0.9888584436416132,11
576.0,-0.11287350411648069,0.8866338644616292,11
580.0,-0.07269728585139085,0.8782483662279997,11
584.0,-0.0038263994162984053,0.9457560522110429,11
588.0,0.04612506397707474,1.0027056232957583,11
592.0,0.05809521730157303,0.9617556792627404,11
596.0,-0.007593462931406402,0.840133175866628,11
600.0,-0.08864421724475115,0.7333809980069482,11
