time_ms,mean_diff,sem,n_subjects
-200.0,-0.07996066470083261,0.050525386192936665,11
-196.0,-0.06579518962722077,0.04539449994998195,11
-192.0,-0.046987217948666976,0.041916343742984,11
-188.0,-0.025796706820379735,0.040400228167018916,11
-184.0,-0.007642813293816728,0.041878526998710634,11
-180.0,0.0031968464573026868,0.045315781790164,11
-176.0,0.0070920991729776705,0.0493293485018899,11
-172.0,0.009012985897508426,0.0536579078175694,11
-168.0,0.014306128031514771,0.059319535751942536,11
-164.0,0.02441726696347012,0.06722379771667543,11
-160.0,0.03566061204669845,0.07526999062167186,11
-156.0,0.04231948109627595,0.07865910363980573,11
-152.0,0.04091182846902235,0.07405816774875226,11
-148.0,0.03262273429228424,0.062421417705248575,11
-144.0,0.02191731560478448,0.04837394858877729,11
-140.0,0.013514267487830656,0.0366009984353474,11
-136.0,0.010011135737583287,0.029056006089172207,11
-132.0,0.011811403858899793,0.025595839778892276,11
-128.0,0.018122882201044917,0.025705604112487585,11
-124.0,0.02774993820616547,0.028922620217100046,11
-120.0,0.038802728462997926,0.034628577015076496,11
-116.0,0.048615661950212614,0.041319572860658696,11
-112.0,0.054585427882301675,0.046994029520275905,11
-108.0,0.05604536979266932,0.04996408893440554,11
-104.0,0.05495846044765424,0.04983481566703599,11
-100.0,0.05464604816505602,0.04789317638401668,11
-96.0,0.05679496783820211,0.04569350022606152,11
-92.0,0.0596702967384699,0.043190077067860995,11
-88.0,0.059018369361116284,0.038842492559763124,11
-84.0,0.05159266411326919,0.03197500928172719,11
-80.0,0.03807808455361418,0.02519297039802264,11
-76.0,0.022938169176159772,0.0227576721736944,11
-72.0,0.010602521565256618,0.023815485289638866,11
-68.0,0.0018014832374494139,0.02607083183137656,11
-64.0,-0.006912698785759391,0.031728966343099,11
-60.0,-0.019529571902099658,0.04384255914429295,11
-56.0,-0.036239000020870986,0.061756857836410585,11
-52.0,-0.052228301778645486,0.08060357953146849,11
-48.0,-0.0612537766166086,0.09407251060788009,11
-44.0,-0.06052259630942873,0.0988038164206011,11
-40.0,-0.053080887504549416,0.09635633740472124,11
-36.0,-0.04526182694321071,0.09100833100110531,11
-32.0,-0.042088614401858376,0.08567426663142878,11
-28.0,-0.04411523346711131,0.08055818869820494,11
-24.0,-0.048219716384217425,0.07456245012499335,11
-20.0,-0.0505071638389648,0.06664478231014934,11
-16.0,-0.04899975066406345,0.056487083626484545,11
-12.0,-0.04382441130813255,0.04493642929162596,11
-8.0,-0.03613953960295763,0.033484859948441845,11
-4.0,-0.027179787838089983,0.02356484079468717,11
0.0,-0.018531726177454147,0.01693183134561708,11
4.0,-0.012474980993177943,0.015124775731161692,11
8.0,-0.01157359302447491,0.017789287613615284,11
12.0,-0.01705429492478511,0.024919534497482246,11
16.0,-0.027264545427070682,0.03498933301204022,11
20.0,-0.03727049084221821,0.04394751320361719,11
24.0,-0.040832646115817245,0.04770672299641221,11
28.0,-0.03338283440000886,0.043785723963018705,11
32.0,-0.014770450599775548,0.032581767239366656,11
36.0,0.010483038306683888,0.019526531975448694,11
40.0,0.03571839566877246,0.019067196959364815,11
44.0,0.056412196334105415,0.030565901788524037,11
48.0,0.0725997881619496,0.04333909837783066,11
52.0,0.08796237393683111,0.05829893316718545,11
56.0,0.10605799000786108,0.07795950866566619,11
60.0,0.12730114857147956,0.10085324482740167,11
64.0,0.14888577973200245,0.12150907109194474,11
68.0,0.16775918226834177,0.13461832410830665,11
72.0,0.18313519401529899,0.13932965818669626,11
76.0,0.19651906285341542,0.14002992519842206,11
80.0,0.20925464556147597,0.14255996111787742,11
84.0,0.2211403287282845,0.1494829189459375,11
88.0,0.23111404641993635,0.15902930648031466,11
92.0,0.23949607198615522,0.16810568077923702,11
96.0,0.2483004211056183,0.17538648911556082,11
100.0,0.25922946583730827,0.18196330129400698,11
104.0,0.2711793513011674,0.1894228958831656,11
108.0,0.2806997580857209,0.19791028724528031,11
112.0,0.28496963584958657,0.20592860677843774,11
116.0,0.2847842775521154,0.21193221098020518,11
120.0,0.2840556437883561,0.21598494078548322,11
124.0,0.28679755425741477,0.22001184741014532,11
128.0,0.29416352249178285,0.22622700728914297,11
132.0,0.30455579870040983,0.2353677396322408,11
136.0,0.3159852376494013,0.24653581293955523,11
140.0,0.3283372539477408,0.25866279920006263,11
144.0,0.34316684699273065,0.27166599743371356,11
148.0,0.3621038874686819,0.28631887045577215,11
152.0,0.3849472711893922,0.3028159023482922,11
156.0,0.40870863810783736,0.3192217027341123,11
160.0,0.42741927958627474,0.3312122110838936,11
164.0,0.43371367819461587,0.3339131676875644,11
168.0,0.4221912222666251,0.3250458521369467,11
172.0,0.39397532281038006,0.3076255468849408,11
176.0,0.3583427657147768,0.28957490670299946,11
180.0,0.32896466311069555,0.2789976981932516,11
184.0,0.31537355308835163,0.2780301361530673,11
188.0,0.31662478265038513,0.28168392344316223,11
192.0,0.3222474693575033,0.2822392721206871,11
196.0,0.32094381914284936,0.275037925692491,11
200.0,0.3091465256650522,0.26168850110579495,11
204.0,0.2925570237799254,0.2484608563681035,11
208.0,0.2796998700839825,0.24107979325372556,11
212.0,0.27506324858731135,0.24069010218437906,11
216.0,0.277770363153005,0.24450542043560317,11
220.0,0.2861616551553309,0.2498712590097836,11
224.0,0.30105675251750674,0.2572718404411219,11
228.0,0.32349997739129177,0.2689559072189427,11
232.0,0.34946713273009644,0.28486015545119464,11
236.0,0.3692242068101608,0.30069075054072514,11
240.0,0.37394330327616687,0.3106777360942783,11
244.0,0.36435297611292516,0.31274496820293624,11
248.0,0.3518921676563827,0.3107265205921355,11
252.0,0.35038736539570403,0.31094840442401933,11
256.0,0.36501008438118154,0.3168127226014724,11
260.0,0.38912786268968025,0.32690338138727676,11
264.0,0.4113753164789513,0.33738849874305166,11
268.0,0.42614522293226786,0.3458947204957089,11
272.0,0.43702276909910615,0.3532912009677819,11
276.0,0.45117952121725574,0.3617299739212561,11
280.0,0.47079957166206915,0.3711877313045856,11
284.0,0.49087637568944786,0.3788860768186713,11
288.0,0.5046175474231696,0.382299858526935,11
292.0,0.510783154121614,0.3823907777317409,11
296.0,0.5151125321909468,0.383478306061166,11
300.0,0.5249589880054157,0.3898930413953788,11
304.0,0.5424486693871806,0.4025638877072478,11
308.0,0.5633884734211301,0.4187634096917386,11
312.0,0.5820045787052961,0.4347249973329314,11
316.0,0.5968621910446852,0.4486068886180097,11
320.0,0.611735490863207,0.4611885106965436,11
324.0,0.6310759608820202,0.4741600822867436,11
328.0,0.6545242978599226,0.4879309780334634,11
332.0,0.6762313306591371,0.5008689099749294,11
336.0,0.6893776665474299,0.5103979156001388,11
340.0,0.6923772948585651,0.5149143561679661,11
344.0,0.6903838261674463,0.5148808698652977,11
348.0,0.6911051610619207,0.5128758685222922,11
352.0,0.6983214776311368,0.5127191823007607,11
356.0,0.7091596767033225,0.5173932960344882,11
360.0,0.7174011428045781,0.5270136790773693,11
364.0,0.7200062807919072,0.5389354101541234,11
368.0,0.7198771232385511,0.5494982426426206,11
372.0,0.7222477545222166,0.555858304428583,11
376.0,0.7274216133828305,0.556564256318473,11
380.0,0.7275706031850873,0.5507459603170415,11
384.0,0.7115150181691785,0.5373873852540497,11
388.0,0.6748588930249011,0.5164962973643356,11
392.0,0.626144229839031,0.4908655233365001,11
396.0,0.5831412559421216,0.4664153506002567,11
400.0,0.5607581189812693,0.45002111981427884,11
404.0,0.5608162883266122,0.4453810762481737,11
408.0,0.5716862286243457,0.44970316157345513,11
412.0,0.5781667898684787,0.455208837879266,11
416.0,0.5729422647222152,0.4551550855733264,11
420.0,0.5604807479894246,0.4488354583051469,11
424.0,0.5511261227031551,0.44138053910895775,11
428.0,0.5520424689629575,0.43883547795293426,11
432.0,0.562124055369023,0.442858506948379,11
436.0,0.5746183594410703,0.4500644891690017,11
440.0,0.583221620741395,0.4558887323560327,11
444.0,0.5860834318468955,0.45852678307034356,11
448.0,0.5851245083256543,0.45932300836439616,11
452.0,0.5832336362155532,0.4602804626052647,11
456.0,0.5821300381542186,0.4618376245450699,11
