subject_id,modality,contrast,condition,n_epochs
208,scalp_sens,face_vs_nonface,face,320
208,scalp_sens,face_vs_nonface,non_face,80
209,ear_full_sens,emotional_vs_neutral,emotional,240
209,ear_full_sens,emotional_vs_neutral,neutral,80
209,ear_full_sens,face_vs_nonface,face,320
209,ear_full_sens,face_vs_nonface,non_face,80
209,ear_strict_sens,emotional_vs_neutral,emotional,240
209,ear_strict_sens,emotional_vs_neutral,neutral,80
209,ear_strict_sens,face_vs_nonface,face,320
209,ear_strict_sens,face_vs_nonface,non_face,80
211,ear_full_sens,emotional_vs_neutral,emotional,240
211,ear_full_sens,emotional_vs_neutral,neutral,80
211,ear_full_sens,face_vs_nonface,face,320
211,ear_full_sens,face_vs_nonface,non_face,80
211,ear_strict_sens,emotional_vs_neutral,emotional,240
211,ear_strict_sens,emotional_vs_neutral,neutral,80
211,ear_strict_sens,face_vs_nonface,face,320
211,ear_strict_sens,face_vs_nonface,non_face,80
211,scalp_sens,emotional_vs_neutral,emotional,240
211,scalp_sens,emotional_vs_neutral,neutral,80
211,scalp_sens,face_vs_nonface,face,320
211,scalp_sens,face_vs_nonface,non_face,80
212,ear_full_sens,emotional_vs_neutral,emotional,240
212,ear_full_sens,emotional_vs_neutral,neutral,80
212,ear_full_sens,face_vs_nonface,face,320
212,ear_full_sens,face_vs_nonface,non_face,80
212,ear_strict_sens,emotional_vs_neutral,emotional,240
212,ear_strict_sens,emotional_vs_neutral,neutral,80
212,ear_strict_sens,face_vs_nonface,face,320
212,ear_strict_sens,face_vs_nonface,non_face,80
213,scalp_sens,emotional_vs_neutral,emotional,240
213,scalp_sens,emotional_vs_neutral,neutral,80
213,scalp_sens,face_vs_nonface,face,320
213,scalp_sens,face_vs_nonface,non_face,80
214,ear_full_sens,emotional_vs_neutral,emotional,240
214,ear_full_sens,emotional_vs_neutral,neutral,80
214,ear_full_sens,face_vs_nonface,face,320
214,ear_full_sens,face_vs_nonface,non_face,80
214,ear_strict_sens,emotional_vs_neutral,emotional,240
214,ear_strict_sens,emotional_vs_neutral,neutral,80
214,ear_strict_sens,face_vs_nonface,face,320
214,ear_strict_sens,face_vs_nonface,non_face,80
214,scalp_sens,emotional_vs_neutral,emotional,240
214,scalp_sens,emotional_vs_neutral,neutral,80
214,scalp_sens,face_vs_nonface,face,320
214,scalp_sens,face_vs_nonface,non_face,80
215,scalp_sens,emotional_vs_neutral,emotional,240
215,scalp_sens,emotional_vs_neutral,neutral,80
215,scalp_sens,face_vs_nonface,face,320
215,scalp_sens,face_vs_nonface,non_face,80
