subject_id,modality,contrast,condition,roi,window,start_ms,end_ms,mean_amplitude,n_epochs_condition,n_roi_channels,available_channels
200,ear_full_sens,emotional_vs_neutral,neutral,ear_left,W4,320.0,600.0,1.7547566478216905,80,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_left,W5,600.0,800.0,0.7613538356739304,80,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_mastoid,W1,80.0,130.0,2.6804247354243036,80,2,"M1,M2"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_mastoid,W2,130.0,220.0,2.850878686477256,80,2,"M1,M2"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_mastoid,W3,220.0,320.0,2.634836160073776,80,2,"M1,M2"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_mastoid,W4,320.0,600.0,2.5299599948209184,80,2,"M1,M2"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_mastoid,W5,600.0,800.0,-0.05832871063279935,80,2,"M1,M2"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_right,W1,80.0,130.0,2.192290716521284,80,4,"ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_right,W2,130.0,220.0,1.6745253747570295,80,4,"ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_right,W3,220.0,320.0,1.0147340600919803,80,4,"ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_right,W4,320.0,600.0,1.0123608925276326,80,4,"ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_right,W5,600.0,800.0,0.0631378255320473,80,4,"ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_strict,W1,80.0,130.0,1.4968960142739847,80,10,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_strict,W2,130.0,220.0,1.7107023421802137,80,10,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_strict,W3,220.0,320.0,1.5347025382520185,80,10,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_strict,W4,320.0,600.0,1.6128390151039127,80,10,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,emotional_vs_neutral,neutral,ear_strict,W5,600.0,800.0,0.3181309223558312,80,10,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_full,W1,80.0,130.0,0.00015636903672519765,320,11,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_full,W2,130.0,220.0,0.0039958142872911495,320,11,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_full,W3,220.0,320.0,0.00554917436166779,320,11,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_full,W4,320.0,600.0,0.005893465448781759,320,11,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_full,W5,600.0,800.0,0.007779531329425384,320,11,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4"
200,ear_full_sens,face_vs_nonface,face,ear_left,W1,80.0,130.0,0.7495742467423038,320,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,face_vs_nonface,face,ear_left,W2,130.0,220.0,0.7989912396037999,320,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,face_vs_nonface,face,ear_left,W3,220.0,320.0,1.1564877362353407,320,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,face_vs_nonface,face,ear_left,W4,320.0,600.0,1.1195210725632132,320,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,face_vs_nonface,face,ear_left,W5,600.0,800.0,-0.4196696866882762,320,4,"EL1,EL3,EL4,EL5"
200,ear_full_sens,face_vs_nonface,face,ear_mastoid,W1,80.0,130.0,2.4766720120736756,320,2,"M1,M2"
200,ear_full_sens,face_vs_nonface,face,ear_mastoid,W2,130.0,220.0,2.9537976150147016,320,2,"M1,M2"
