subject_id,modality,contrast,condition,roi,window,start_ms,end_ms,mean_amplitude
201,scalp_main,emotional_vs_neutral,emotional,face_roi,W4,320,600,6.439579063251685
201,scalp_main,emotional_vs_neutral,neutral,face_roi,W1,80,130,9.302352610710546
201,scalp_main,emotional_vs_neutral,neutral,face_roi,W2,130,220,7.638375717236007
201,scalp_main,emotional_vs_neutral,neutral,face_roi,W3,220,320,6.939119347200423
201,scalp_main,emotional_vs_neutral,neutral,face_roi,W4,320,600,6.781734682736438
201,scalp_main,emotional_vs_neutral,emotional,late_roi,W1,80,130,-1.0924605610667348
201,scalp_main,emotional_vs_neutral,emotional,late_roi,W2,130,220,-0.11605284106828129
201,scalp_main,emotional_vs_neutral,emotional,late_roi,W3,220,320,0.2959324388547826
201,scalp_main,emotional_vs_neutral,emotional,late_roi,W4,320,600,0.012678548942547996
201,scalp_main,emotional_vs_neutral,neutral,late_roi,W1,80,130,-0.4054710278977929
201,scalp_main,emotional_vs_neutral,neutral,late_roi,W2,130,220,0.3092665379069979
201,scalp_main,emotional_vs_neutral,neutral,late_roi,W3,220,320,0.9020791197213598
201,scalp_main,emotional_vs_neutral,neutral,late_roi,W4,320,600,0.3289938521431258
201,scalp_main,emotional_vs_neutral,emotional,central_roi,W1,80,130,-2.098358192699629
201,scalp_main,emotional_vs_neutral,emotional,central_roi,W2,130,220,-1.2527237562380058
201,scalp_main,emotional_vs_neutral,emotional,central_roi,W3,220,320,-0.9060806515559537
201,scalp_main,emotional_vs_neutral,emotional,central_roi,W4,320,600,-1.3257018350473606
201,scalp_main,emotional_vs_neutral,neutral,central_roi,W1,80,130,-1.6888627328393813
201,scalp_main,emotional_vs_neutral,neutral,central_roi,W2,130,220,-0.9334576868908946
201,scalp_main,emotional_vs_neutral,neutral,central_roi,W3,220,320,-0.5438969296009133
201,scalp_main,emotional_vs_neutral,neutral,central_roi,W4,320,600,-1.2024093143707881
202,scalp_main,face_vs_nonface,face,face_roi,W1,80,130,9.60494736252901
202,scalp_main,face_vs_nonface,face,face_roi,W2,130,220,11.276761432864454
202,scalp_main,face_vs_nonface,face,face_roi,W3,220,320,11.911986950031123
202,scalp_main,face_vs_nonface,face,face_roi,W4,320,600,9.738624909742564
202,scalp_main,face_vs_nonface,non_face,face_roi,W1,80,130,9.416577683007166
202,scalp_main,face_vs_nonface,non_face,face_roi,W2,130,220,13.10255282839317
202,scalp_main,face_vs_nonface,non_face,face_roi,W3,220,320,13.810780345774717
202,scalp_main,face_vs_nonface,non_face,face_roi,W4,320,600,9.42811233694513
202,scalp_main,face_vs_nonface,face,late_roi,W1,80,130,1.2027878464834254
202,scalp_main,face_vs_nonface,face,late_roi,W2,130,220,1.8812081325406025
202,scalp_main,face_vs_nonface,face,late_roi,W3,220,320,1.176457606225892
202,scalp_main,face_vs_nonface,face,late_roi,W4,320,600,2.0803797274783093
202,scalp_main,face_vs_nonface,non_face,late_roi,W1,80,130,0.8821781247991521
202,scalp_main,face_vs_nonface,non_face,late_roi,W2,130,220,3.105287543303532
202,scalp_main,face_vs_nonface,non_face,late_roi,W3,220,320,2.366177184765471
202,scalp_main,face_vs_nonface,non_face,late_roi,W4,320,600,0.69210119736557
202,scalp_main,face_vs_nonface,face,central_roi,W1,80,130,-1.2848877326293813
202,scalp_main,face_vs_nonface,face,central_roi,W2,130,220,-1.1782448756146104
202,scalp_main,face_vs_nonface,face,central_roi,W3,220,320,-1.88707867565781
202,scalp_main,face_vs_nonface,face,central_roi,W4,320,600,-0.7853244485936824
202,scalp_main,face_vs_nonface,non_face,central_roi,W1,80,130,-1.4983265712264877
