subject_id,modality,roi,requested_channels,used_channels,dropped_all_nan_channels,n_used_channels
205,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
206,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
206,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
206,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
206,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
208,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
208,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
208,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
208,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
209,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
209,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
209,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
209,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
211,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
211,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
211,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
211,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
212,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
212,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
212,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
212,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
214,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
214,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
214,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
214,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
200,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
200,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
200,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
200,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
201,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
201,ear_strict_main,ear_right,ER1;ER2;ER4,ER1;ER2;ER4,,3
201,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
201,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,,9
202,ear_strict_main,ear_left,EL1;EL3;EL5,EL1;EL3;EL5,,3
202,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
202,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
202,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,,9
203,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
203,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
203,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
203,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
205,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
205,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
205,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
205,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
206,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
206,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
206,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
206,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
208,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
208,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
208,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
208,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
209,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
209,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
209,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
209,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
211,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
211,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
211,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
211,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
212,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
212,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
212,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
212,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
214,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
214,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
214,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
214,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
