analysis,modality,contrast,roi,window,condition_a,condition_b,n,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size_dz,p_fdr
condition_within_modality,ear_full_main,face_vs_nonface,ear_right,W2,face,non_face,11,1.0359037847679908,0.5154225294647401,0.5204812553032507,wilcoxon,14.0,0.1015625,0.5585239943201651,0.405517578125
condition_within_modality,ear_full_main,face_vs_nonface,ear_right,W3,face,non_face,11,0.5617786761303694,-0.12409897332734858,0.685877649457718,wilcoxon,14.0,0.1015625,0.5649797206281746,0.405517578125
condition_within_modality,ear_full_main,face_vs_nonface,ear_right,W4,face,non_face,11,1.26832423742223,-0.39219323632696296,1.660517473749193,wilcoxon,6.0,0.013671875,0.8598234988041729,0.13368055555555555
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_left,W1,emotional,neutral,11,0.6424209249164307,-0.17568353731467273,0.8181044622311031,wilcoxon,16.0,0.1474609375,0.45414280435858373,0.405517578125
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_left,W2,emotional,neutral,11,0.5504517256174732,0.044465546484207155,0.505986179133266,wilcoxon,27.0,0.6376953125,0.26753271519424826,0.8326646959459459
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_left,W3,emotional,neutral,11,0.2268048406889153,-0.4351468241931663,0.6619516648820816,wilcoxon,22.0,0.365234375,0.31467774010005956,0.6695963541666666
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_left,W4,emotional,neutral,11,0.3251175131276581,-0.5678412589751646,0.8929587721028227,wilcoxon,16.0,0.1474609375,0.4310165936224764,0.405517578125
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_mastoid,W1,emotional,neutral,11,2.0388719909984885,1.4071853729243293,0.631686618074159,wilcoxon,33.0,1.0,0.3181912593936559,1.0
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_mastoid,W2,emotional,neutral,11,2.0598931076512796,1.735480765672014,0.32441234197926544,wilcoxon,22.0,0.365234375,0.11688992348932517,0.6695963541666666
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_mastoid,W3,emotional,neutral,11,1.9489184625552212,1.3976618536041026,0.5512566089511184,wilcoxon,29.0,0.7646484375,0.1515780523806892,0.8738839285714286
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_mastoid,W4,emotional,neutral,11,2.144803427600998,1.024832383732436,1.1199710438685624,wilcoxon,32.0,0.9658203125,0.27796887770263407,0.98828125
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_right,W1,emotional,neutral,11,1.1867414980822664,0.8847438243679581,0.30199767371430825,wilcoxon,30.0,0.8310546875,0.2196112446238864,0.8918635670731707
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_right,W2,emotional,neutral,11,1.049417622510543,0.9953622715403353,0.05405535097020766,wilcoxon,21.0,0.3203125,0.03156185932053016,0.6695963541666666
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_right,W3,emotional,neutral,11,0.5838603332468633,0.49553370478088793,0.08832662846597515,wilcoxon,28.0,0.7001953125,0.04424429879418101,0.8326646959459459
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_right,W4,emotional,neutral,11,1.3469124896523252,1.032559480731945,0.3143530089203803,wilcoxon,25.0,0.51953125,0.17403697645216354,0.7882543103448276
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_strict,W1,emotional,neutral,11,1.1394484003361631,0.5649633721293523,0.5744850282068109,wilcoxon,31.0,0.8984375,0.35993109861961303,0.9412202380952381
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_strict,W2,emotional,neutral,11,1.0533884622801901,0.7622372338850011,0.291151228395189,wilcoxon,24.0,0.46484375,0.1497304790826055,0.7718160377358491
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_strict,W3,emotional,neutral,11,0.7116409036467798,0.2930120380783239,0.4186288655684561,wilcoxon,28.0,0.7001953125,0.18256617386291712,0.8326646959459459
condition_within_modality,ear_strict_main,emotional_vs_neutral,ear_strict,W4,emotional,neutral,11,1.0974992106978851,0.37845274889922764,0.7190464617986577,wilcoxon,24.0,0.46484375,0.3153616990860913,0.7718160377358491
condition_within_modality,ear_strict_main,face_vs_nonface,ear_left,W1,face,non_face,11,0.4378948093586548,0.6254196989905417,-0.187524889631887,wilcoxon,28.0,0.7001953125,-0.17978565577280908,0.8326646959459459
condition_within_modality,ear_strict_main,face_vs_nonface,ear_left,W2,face,non_face,11,0.4239551808341568,0.05448913542001503,0.3694660454141417,wilcoxon,27.0,0.6376953125,0.2613725794624147,0.8326646959459459
condition_within_modality,ear_strict_main,face_vs_nonface,ear_left,W3,face,non_face,11,0.06131692446839485,-0.9922272089831801,1.0535441334515752,wilcoxon,16.0,0.1474609375,0.5807347857053806,0.405517578125
