modality,contrast,roi,window,start_ms,end_ms,n_subjects,mean_difference,median_difference,std_difference,sem_difference,ci95_low,ci95_high,n_positive,n_negative,positive_pct,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,p_sign,effect_size_dz,p_fdr_ttest,p_fdr_wilcoxon
ear_full_main,emotional_vs_neutral,ear_full,W1,80,130,11,0.747908427841013,0.011189242207125801,1.7789341836231338,0.5363688376195573,-0.44719581824239596,1.943012673924422,6,5,54.54545454545455,1.3943920216548806,0.1934019914770927,17.0,0.1748046875,1.0,0.4204250133176692,0.5350390833560212,0.4157516891891892
ear_full_main,emotional_vs_neutral,ear_full,W2,130,220,11,0.47808488545172545,0.0064775785891555,2.1301602020008206,0.642267466671308,-0.9529762103917121,1.909145981295163,6,5,54.54545454545455,0.7443703912475985,0.473781482759667,29.0,0.7646484375,1.0,0.22443611752893938,0.7205496456786518,0.8738839285714286
ear_full_main,emotional_vs_neutral,ear_full,W3,220,320,11,0.504172022203458,0.0083056209820276,2.587465623421285,0.7801502391664931,-1.234111036053144,2.24245508046006,6,5,54.54545454545455,0.6462499104558524,0.5326675227381162,30.0,0.8310546875,1.0,0.19485167943480342,0.7248150113328764,0.8918635670731707
ear_full_main,emotional_vs_neutral,ear_full,W4,320,600,11,0.7966463870656973,0.0075905834889218,2.5073406040262234,0.7559916368343687,-0.8878079507255275,2.481100724856922,8,3,72.72727272727273,1.0537767195435732,0.316780624747969,16.0,0.1474609375,0.2265625,0.3177256355943277,0.6144929444591739,0.405517578125
ear_full_main,emotional_vs_neutral,ear_left,W1,80,130,11,0.8181044622311031,0.5450852856499284,1.8014255744656502,0.5431502471139085,-0.3921097058177536,2.02831863027996,8,3,72.72727272727273,1.506221283297201,0.16292821735728782,16.0,0.1474609375,0.2265625,0.45414280435858373,0.5120601116943332,0.405517578125
ear_full_main,emotional_vs_neutral,ear_left,W2,130,220,11,0.505986179133266,-0.06149958451410159,1.8913058119485804,0.5702501583683555,-0.764610354066426,1.776582712332958,5,6,45.45454545454545,0.8873056354443345,0.39575347583676646,27.0,0.6376953125,1.0,0.26753271519424826,0.6501286004724421,0.8326646959459459
ear_full_main,emotional_vs_neutral,ear_left,W3,220,320,11,0.6619516648820816,0.4083511803090607,2.103585924672008,0.6342550205827153,-0.7512565885320883,2.0751599182962517,8,3,72.72727272727273,1.0436679937888709,0.32121222096729546,22.0,0.365234375,0.2265625,0.31467774010005956,0.6144929444591739,0.6695963541666666
ear_full_main,emotional_vs_neutral,ear_left,W4,320,600,11,0.8929587721028227,0.5440749737545668,2.071750334709752,0.6246562290477692,-0.4988620409604214,2.284779585166067,7,4,63.63636363636363,1.4295203194628443,0.18334299047010455,16.0,0.1474609375,0.548828125,0.4310165936224764,0.5350390833560212,0.405517578125
ear_full_main,emotional_vs_neutral,ear_mastoid,W1,80,130,11,0.631686618074159,-0.21440055025266958,1.9852418928096855,0.5985729524131528,-0.702017032932947,1.965390269081265,5,6,45.45454545454545,1.0553210189794047,0.3161077115139199,33.0,1.0,1.0,0.3181912593936559,0.6144929444591739,1.0
ear_full_main,emotional_vs_neutral,ear_mastoid,W2,130,220,11,0.32441234197926544,-0.38354360677346355,2.7753661932107603,0.8368043926106457,-1.5401040366914363,2.188928720649967,4,7,36.36363636363637,0.38768001798744184,0.7063767382266539,22.0,0.365234375,0.548828125,0.11688992348932517,0.7966935987706611,0.6695963541666666
ear_full_main,emotional_vs_neutral,ear_mastoid,W3,220,320,11,0.5512566089511184,-0.11684280508020972,3.6367838238654375,1.0965315806723288,-1.8919680083514239,2.9944812262536606,4,7,36.36363636363637,0.502727526199583,0.6260419086752766,29.0,0.7646484375,0.548828125,0.1515780523806892,0.7394414248757201,0.8738839285714286
