subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,0.0041078351286986,-0.0152986924670366,0.0194065275957352,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,-0.0115024619187054,0.0079423388942519,-0.0194448008129573,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,-0.0016525520678431,-0.0040196980262551,0.002367145958412,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,0.0097505700800878,0.0048709611039299,0.004879608976157899,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,0.0050334221720563,-0.0146373808901773,0.0196708030622336,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,0.0125189556401637,0.0147794613414344,-0.0022605057012707007,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,0.0211399705154594,0.0010798516353546,0.0200601188801048,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_full,W4,320,600,-0.0035707077025523,-0.0111612911914741,0.0075905834889218,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.92952001183923,0.2097369514515254,0.7197830603877047,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.942509576322316,-1.990260073163694,2.93276964948601,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,2.544630410067399,-2.638366063658367,5.182996473725765,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,1.34553685240623,1.2789116576143795,0.06662519479185058,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.415444403319239,0.7946787694933802,-0.37923436617414125,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,1.0302502033444072,0.4554109899215762,0.5748392134228311,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.0761600491387034,1.4218903558412943,-1.345730306702591,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.0244366242271949,-0.5206486614227335,0.5450852856499284,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.2760589741387294,-0.1180103451910996,0.39406931932982897,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,0.3342736465607842,-0.5412930209750801,0.8755666675358643,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W1,80,130,-0.8521905772834955,-0.2845694703725815,-0.5676211069109139,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,0.6543255608982773,1.1531365471801802,-0.4988109862819029,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,-0.3154903829021927,1.1264977757727543,-1.441988158674947,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,2.940560532678244,-2.79944123299737,5.740001765675614,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,1.193051307482618,0.2852447396851355,0.9078065677974825,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,0.0469835744086126,0.4612411734193788,-0.4142575990107662,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,1.3862502377097423,0.8114976969185008,0.5747525407912415,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,0.3725351856616703,1.0117517880850768,-0.6392166024234065,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,-0.0832647244190877,-0.7121991365364914,0.6289344121174036,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,0.4962089606294198,0.5577085451435214,-0.06149958451410159,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,0.3981038849742102,-0.6504001315426554,1.0485040165168655,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W2,130,220,-1.0342951553293096,-0.7559167538017519,-0.27837840152755766,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,1.0444405628184068,1.4978650400486375,-0.4534244772302307,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,-2.297753320543542,-0.382931642883687,-1.9148216776598552,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,3.339562485005112,-2.9708907972330705,6.310453282238182,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,1.290632138768366,0.7785571685043331,0.5120749702640328,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,0.015753079368695,0.9822183256582062,-0.9664652462895112,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,1.5613031317511588,1.3943818576381244,0.16692127411303437,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,-1.3540951100438543,-1.5485094232069057,0.19441431316305136,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,-0.5774777198231317,-1.0523993092675383,0.47492158944440666,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,-0.4000598749853969,-1.1879018650599638,0.7878419900745668,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,0.5257874737333535,-1.2354136415428063,1.76120111527616,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W3,220,320,-0.6532395984710988,-1.0615907787801595,0.4083511803090607,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,0.9168620966832816,1.7543221920370229,-0.8374600953537413,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,-0.2676059661726065,-0.6107449485092105,0.34313898233660395,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,3.4945028258771256,-3.092059460068481,6.5865622859456066,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,0.3261688429564551,0.6398507495825774,-0.3136819066261223,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,-0.3529381962168571,0.3788835031928481,-0.7318216994097052,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,1.413726653688023,0.2647662491051858,1.1489604045828372,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,-0.6838903050265212,-0.0848582808975115,-0.5990320241290097,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,0.1112842947537586,-0.9127538069290304,1.024038101682789,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,-0.5215418430237798,-1.4622936801948312,0.9407518371710514,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,0.0291237421898784,-1.687891890986295,1.7170156331761735,240.0,80.0
