modality,roi,contrast,w4_mean_difference,w4_sem_average,w5_mean_difference,w5_sem_average,w5_minus_w4,post_w4_decrease_pct,w4_abs_peak,w4_abs_peak_time_ms,w5_abs_peak,w5_abs_peak_time_ms,interpretation
ear_full_sens,ear_full,face_vs_nonface,0.6354836749403121,0.4902757993834721,0.4742319391523764,0.4306458712937138,-0.16125173578793572,25.37464645383397,0.7316488779743014,544.0,0.5799145812907495,600.0,moderate post-W4 decrease
ear_full_sens,ear_right,face_vs_nonface,1.6593980904201522,0.6342136811021011,0.2230687221896177,0.5393361706225326,-1.4363293682305345,86.55725088046006,1.971770177952836,464.0,1.581041257387288,600.0,clear post-W4 decrease
ear_strict_sens,ear_strict,face_vs_nonface,1.8036759277533156,0.6907755427526068,0.3928738085936556,0.538786162697053,-1.41080211915966,78.21815978422327,2.097302679345447,480.0,1.678299848232057,600.0,clear post-W4 decrease
scalp_sens,central_roi,face_vs_nonface,1.0679202057906858,0.6035901084749832,0.4902202614520271,0.8404647528206941,-0.5776999443386588,54.09579678389276,1.5724163406530636,428.0,1.1809686451591064,616.0,clear post-W4 decrease
scalp_sens,face_roi,face_vs_nonface,2.1957941673593564,1.5220993368474882,0.6432849659766775,0.9015201343211868,-1.552509201382679,70.70376743234151,5.338250540464987,592.0,4.924697626816172,600.0,clear post-W4 decrease
scalp_sens,late_roi,face_vs_nonface,2.0794715942691395,0.7620665945753065,0.634815061390454,0.8387040004561053,-1.4446565328786856,69.47228982882216,2.870518962672301,540.0,2.451569677892022,600.0,clear post-W4 decrease
