window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap,is_fp_channel
W4,320.0,600.0,Fp1,11,-13.242834285697898,-6.7441827064579485,17.44003561324584,5.258368587233836,True,True
W4,320.0,600.0,Fpz,11,-10.91510196748485,-6.520542675511292,15.672060730204077,4.725304103068198,True,True
W4,320.0,600.0,Fp2,11,-12.219679707693937,-6.4435262828090725,17.29188408554286,5.213699220914861,True,True
W4,320.0,600.0,F7,11,-1.410795229161112,-1.4155822948741932,2.752618092119497,0.8299455820640279,True,False
W4,320.0,600.0,F3,7,0.0188753413381687,0.2310722564561844,2.0330082345136327,0.7684048859813647,True,False
W4,320.0,600.0,Fz,11,-0.7087232587848734,0.0856865949642715,3.7343921295588793,1.125961592163916,True,False
W4,320.0,600.0,F4,10,-1.1669963517190929,-0.2836920939807158,4.272910893054012,1.351213066099482,True,False
W4,320.0,600.0,F8,11,-1.1782197211515502,-0.5370176074773142,3.3442460768912903,1.008328131242404,True,False
W4,320.0,600.0,FC5,6,1.3157218192949884,1.481962209817457,1.0742107987200915,0.4385447221752983,True,False
W4,320.0,600.0,FC1,9,0.2887808319458146,1.550261252451631,2.7287950851119547,0.9095983617039848,True,False
W4,320.0,600.0,FC2,9,0.6295140403055548,0.9772755873741076,1.3765925160308785,0.4588641720102928,True,False
W4,320.0,600.0,FC6,11,0.7358950765965062,1.4901676681171288,1.7798438391732918,0.536643109087588,True,False
W4,320.0,600.0,T7,10,2.224779966838611,2.160599861973221,2.7188601966433725,0.8597790860966344,True,False
W4,320.0,600.0,C3,11,1.6906394711360662,1.759394132576313,1.126284881824783,0.339587669096598,True,False
W4,320.0,600.0,Cz,9,1.9740008622780385,1.5762055863693516,1.1587182666338098,0.38623942221127,True,False
W4,320.0,600.0,C4,11,1.7590591628163608,1.84716858146264,0.9178249770017758,0.2767346429028604,True,False
W4,320.0,600.0,T8,11,2.115291944364237,1.4968714384027717,1.8528252615017609,0.5586478358630425,True,False
W4,320.0,600.0,TP7,10,1.8377226583563369,1.2215558915077849,3.9787078217825433,1.2581778861160131,True,False
W4,320.0,600.0,CP5,10,1.8654655794378443,1.6716297299783656,3.310778695193242,1.0469601505571005,True,False
W4,320.0,600.0,CP1,10,1.945925242515253,1.3169638919451114,1.7008707716815197,0.537862564412182,True,False
W4,320.0,600.0,CP2,9,1.9540385271582343,1.5986898066436797,1.5045042231375343,0.5015014077125115,True,False
W4,320.0,600.0,CP6,11,2.2986480568405896,1.8809459584342425,3.4252399793057675,1.0327487116619931,True,False
W4,320.0,600.0,TP8,10,1.9332483105506677,0.3466238757658066,3.8601472609063054,1.2206857448124175,True,False
W4,320.0,600.0,P7,11,1.8175210452659785,0.2598666100305378,4.901000322195944,1.477707196921352,True,False
W4,320.0,600.0,P3,11,1.6286600450236508,0.7519051718252457,4.048815901535973,1.2207639264199417,True,False
W4,320.0,600.0,Pz,11,2.306425805230844,1.5294251775205652,2.644913199855362,0.7974713351798655,True,False
W4,320.0,600.0,P4,11,2.424231453484912,1.6845261554293507,3.331259879692763,1.004412645464124,True,False
W4,320.0,600.0,P8,11,1.2090311468436108,-0.2616131726120212,4.100606286498355,1.236379315026149,True,False
W4,320.0,600.0,O1,11,3.0951116653120816,1.565945773792162,5.103572753479465,1.5387850830520329,True,False
W4,320.0,600.0,O2,11,3.590598621913466,1.9520882582222043,5.129687712658239,1.5466590395076183,True,False
