set,n_channels,mean,median,min,max,vlim_low_no_fp_plot,vlim_high_no_fp_plot,vlim_low_robust_plot,vlim_high_robust_plot
all,30,-0.006105461561516427,1.7248493169762136,-13.242834285697898,3.590598621913466,,,-2.8938476017639303,2.8938476017639303
no_fp,27,1.3405352634826366,1.8175210452659785,-1.410795229161112,3.590598621913466,-3.590598621913466,3.590598621913466,,
fp_only,3,-12.125871986958893,-12.219679707693937,-13.242834285697898,-10.91510196748485,,,,
