modality,contrast,roi,window,start_ms,end_ms,n_subjects,mean_difference,median_difference,std_difference,sem_difference,ci95_low,ci95_high,n_positive,n_negative,positive_pct,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,p_sign,effect_size_dz,p_fdr_ttest,p_fdr_wilcoxon
ear_full_sens,face_vs_nonface,ear_full,W1,80.0,130.0,11,0.26116805561268647,0.016770199772255398,0.6229614685160564,0.1878299499924143,-0.1573431535280434,0.6796792647534163,9,2,81.81818181818181,1.3904494763653716,0.19455966667491684,5.0,0.009765625,0.0654296875,0.4192362911863706,0.665598859677347,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_full,W4,320.0,600.0,11,0.6354836749403122,0.012256801037178,1.6230190899661738,0.48935866809107936,-0.4548753859792368,1.7258427358598611,10,1,90.9090909090909,1.2986051262139613,0.2232261015083065,6.0,0.013671875,0.01171875,0.39154417768034794,0.6866681236912675,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_full,W5,600.0,800.0,11,0.4742319391523766,0.0055817966159853,1.4159098669770935,0.4269128877931859,-0.47698925254416935,1.4254531308489224,6,5,54.54545454545455,1.1108400629547497,0.29263219639775667,20.0,0.2783203125,1.0,0.33493088099233415,0.6866681236912675,0.7384008290816326
ear_full_sens,face_vs_nonface,ear_right,W1,80.0,130.0,11,0.8201330242702778,0.9517485408961246,0.8714387411445158,0.2627486665596367,0.23469251200677044,1.4055735365337851,9,2,81.81818181818181,3.121359415478253,0.01084884557571042,5.0,0.009765625,0.0654296875,0.9411252742713103,0.20145604440018175,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_right,W4,320.0,600.0,11,1.6593980904201522,1.6896402334934584,1.930887314458042,0.5821844304103914,0.3622103420136811,2.9565858388266233,9,2,81.81818181818181,2.85029623559396,0.01724133130008104,6.0,0.013671875,0.0654296875,0.8593966504388729,0.20145604440018175,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_right,W5,600.0,800.0,11,0.22306872218961782,0.3981882643125784,1.5178249496169816,0.4576414413926924,-0.7966199536466755,1.242757398025911,8,3,72.72727272727273,0.4874312114540502,0.6364613472430998,26.0,0.5771484375,0.2265625,0.1469660399546789,0.7394223789462869,0.8428276909722222
ear_strict_sens,face_vs_nonface,ear_strict,W1,80.0,130.0,11,0.3863634215684549,0.12182756497853697,0.7470960227246499,0.22525792634040864,-0.11554251582366598,0.8882693589605757,6,5,54.54545454545455,1.7152045561521523,0.11707270610934427,16.0,0.1474609375,1.0,0.5171536319513418,0.5022504953500154,0.5324978298611112
ear_strict_sens,face_vs_nonface,ear_strict,W4,320.0,600.0,11,1.8036759277533159,1.6557487331512268,2.167792712148208,0.653614095405683,0.3473329675879955,3.260018887918636,8,3,72.72727272727273,2.759542580907494,0.020145604440018176,11.0,0.0537109375,0.2265625,0.8320333939890107,0.20145604440018175,0.4364013671875
ear_strict_sens,face_vs_nonface,ear_strict,W5,600.0,800.0,11,0.39287380859365584,0.11641366850269994,1.504374561454713,0.45358599677279404,-0.6177787735230498,1.4035263907103614,8,3,72.72727272727273,0.8661506558599745,0.4067087981904859,21.0,0.3203125,0.2265625,0.26115424885525274,0.6956861021679364,0.7435825892857143
scalp_sens,face_vs_nonface,central_roi,W1,80.0,130.0,11,0.2092891240778629,-0.3764871840504528,1.8491227114971858,0.5575314750327965,-1.0329684166360311,1.451546664791757,4,7,36.36363636363637,0.3753853072879007,0.7152135716236614,28.0,0.7001953125,0.548828125,0.11318292873511192,0.7946817462485127,0.8428276909722222
scalp_sens,face_vs_nonface,central_roi,W4,320.0,600.0,11,1.0679202057906856,1.236004882710694,1.185900718924315,0.35756252029860675,0.27122126230685795,1.8646191492745132,9,2,81.81818181818181,2.9866670726530478,0.013651207416643442,7.0,0.0185546875,0.0654296875,0.9005140048817536,0.20145604440018175,0.2412109375
scalp_sens,face_vs_nonface,central_roi,W5,600.0,800.0,11,0.4902202614520271,0.41215691470560367,2.5570062629451367,0.7709663964343507,-1.227599920002753,2.2080404429068072,7,4,63.63636363636363,0.6358516580219982,0.5391518338394345,20.0,0.2783203125,0.548828125,0.191716488362213,0.7238391264861731,0.7384008290816326
scalp_sens,face_vs_nonface,face_roi,W1,80.0,130.0,11,2.0800395290192215,1.8461668146234027,1.8986094294901101,0.5724522819135838,0.8045363587915797,3.3555426992468633,10,1,90.9090909090909,3.633559677788514,0.004585443636078386,2.0,0.0029296875,0.01171875,1.0955594640535606,0.20145604440018175,0.1904296875
scalp_sens,face_vs_nonface,face_roi,W4,320.0,600.0,11,2.1957941673593573,1.0403123284689002,4.382399738920683,1.3213432377592156,-0.7483420374730962,5.139930372191811,8,3,72.72727272727273,1.6617893856883614,0.1275365506463621,16.0,0.1474609375,0.2265625,0.5010483520839537,0.518117237000846,0.5324978298611112
scalp_sens,face_vs_nonface,face_roi,W5,600.0,800.0,11,0.6432849659766776,0.4118364085943716,2.2024484350535958,0.664063189016201,-0.8363400256300565,2.1229099575834116,7,4,63.63636363636363,0.96871047306461,0.3555348916543982,22.0,0.365234375,0.548828125,0.29207719724027204,0.6956861021679364,0.7658140120967742
scalp_sens,face_vs_nonface,late_roi,W1,80.0,130.0,11,0.045315779528538866,-0.3847018759110946,1.8607949178795162,0.5610507776733222,-1.2047832561305334,1.295414815187611,5,6,45.45454545454545,0.08076947993274944,0.9372189176637491,28.0,0.7001953125,1.0,0.02435291449536998,0.9518629632522452,0.8428276909722222
scalp_sens,face_vs_nonface,late_roi,W4,320.0,600.0,11,2.0794715942691404,1.4045660142620546,1.50035887520973,0.4523752218136668,1.0715167868798525,3.087426401658428,11,0,100.0,4.596784912162306,0.0009849575323438089,0.0,0.0009765625,0.0009765625,1.3859827996008343,0.12804447920469514,0.126953125
scalp_sens,face_vs_nonface,late_roi,W5,600.0,800.0,11,0.6348150613904537,0.5153471408154554,2.406306941877999,0.725528841512442,-0.9817639386045307,2.2513940613854384,7,4,63.63636363636363,0.8749687470274983,0.4021170346954186,21.0,0.3203125,0.548828125,0.26381300337978214,0.6956861021679364,0.7435825892857143
