subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
200,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,-0.0007593844269775,0.0029036294278334,-0.0036630138548108997,240.0,80.0
201,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,2.070044852425296,-0.4975026349972364,2.5675474874225324,240.0,80.0
202,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,1.603196805579033,-3.982537904568947,5.58573471014798,240.0,80.0
203,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,0.0138959419473274,-0.0114354881329007,0.0253314300802281,240.0,80.0
205,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,-0.0127117517898561,0.0108969214999609,-0.023608673289817,240.0,80.0
206,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,0.0005033761678982,0.0025343236106963,-0.0020309474427981002,240.0,80.0
208,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,-0.0081321624727614,0.0094772623949418,-0.0176094248677032,240.0,80.0
209,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,0.0024396044980715,-0.0261116727291366,0.0285512772272081,240.0,80.0
211,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,0.0130932968711586,-0.0490559112978855,0.0621492081690441,240.0,80.0
212,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,0.0143378245961795,0.0209364141440247,-0.006598589547845198,240.0,80.0
214,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W1,80.0,130.0,-0.0052496684172101,-0.0164389106243359,0.011189242207125801,240.0,80.0
200,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,0.0033621061859382,0.0058969385913497,-0.0025348324054115003,240.0,80.0
201,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,0.3589917294029229,1.9685243725126764,-1.6095326431097536,240.0,80.0
202,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,1.844018746760524,-4.936620215169362,6.780638961929886,240.0,80.0
203,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,0.0135963002558671,-0.0215453522018997,0.0351416524577668,240.0,80.0
205,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0066902613768646,0.019342184317854,-0.026032445694718596,240.0,80.0
206,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0010508876163233,-0.0059843804523668,0.0049334928360435,240.0,80.0
208,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0088498978855585,0.0149391695546733,-0.0237890674402318,240.0,80.0
209,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0024721318050584,-0.0164809197669817,0.0140087879619233,240.0,80.0
211,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,0.0014884471360357,-0.0487670751473384,0.0502555222833741,240.0,80.0
212,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0057558262987686,0.0109616684477733,-0.0167174947465419,240.0,80.0
214,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W2,130.0,220.0,-0.0175121699111196,-0.0280006419123671,0.0104884720012475,240.0,80.0
200,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,0.0014184312113307,0.017941403812679,-0.016522972601348298,240.0,80.0
201,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-1.2593798880067524,1.1481020218636353,-2.4074819098703877,240.0,80.0
202,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,2.009020396412991,-5.986794460827846,7.995814857240837,240.0,80.0
203,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,0.0162400335443727,-0.0006509547489723,0.016890988293345,240.0,80.0
205,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-0.015206898394092,-0.0103308950621448,-0.004876003331947201,240.0,80.0
206,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-0.0129483469100736,0.0236515306477436,-0.0365998775578172,240.0,80.0
208,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-0.0003940459020208,0.0332776839357909,-0.0336717298378117,240.0,80.0
209,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-0.0032907220161629,-0.0115955026099077,0.0083047805937448,240.0,80.0
211,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,0.0176051620497012,-0.0302592128355001,0.0478643748852013,240.0,80.0
212,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,0.0117859612856264,0.0024564480460776,0.0093295132395488,240.0,80.0
214,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W3,220.0,320.0,-0.0137612517748237,-0.0311468942601748,0.0173856424853511,240.0,80.0
200,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0001791256462168,0.0230364848564764,-0.0228573592102596,240.0,80.0
201,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.7876512913945739,0.3914307249157339,0.39622056647884,240.0,80.0
202,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,2.1042470885077185,-6.243832126950925,8.348079215458643,240.0,80.0
203,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0043334843520157,-0.0155257982494903,0.019859282601506,240.0,80.0
205,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,-0.0113346821646724,0.0078719417215772,-0.0192066238862496,240.0,80.0
206,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,-0.0014622841716074,-0.0038620528129884,0.002399768641381,240.0,80.0
208,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0097430430045663,0.0050262025012395,0.0047168405033268,240.0,80.0
209,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0049990151154428,-0.0145364116293752,0.019535426744818,240.0,80.0
211,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0127414490854189,0.0142834381861913,-0.0015419891007723997,240.0,80.0
212,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,0.0211701827562978,0.0008563687153748,0.020313814040923,240.0,80.0
214,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W4,320.0,600.0,-0.0034554420443377,-0.0112916220867019,0.0078361800423642,240.0,80.0
200,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,0.0106781326793352,-0.0009162727203042,0.0115944053996394,240.0,80.0
201,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,0.2205283253323215,0.4083515747572566,-0.18782324942493508,240.0,80.0
202,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,1.7938674217721298,-6.987154717848498,8.781022139620628,240.0,80.0
203,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,0.0030902061425409,-0.0170265436567979,0.0201167497993388,240.0,80.0
205,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,-0.0005537046749495,-0.001123431389412,0.0005697267144625001,240.0,80.0
206,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,0.0057780028923662,-0.0109172130581015,0.0166952159504677,240.0,80.0
208,ear_full_sens,emotional_vs_neutral,emotional,neutral,ear_full,W5,600.0,800.0,0.0037844940051241,-0.0022578891293267,0.0060423831344508,240.0,80.0
