label,modality,roi,W4_n_subjects,W4_mean_difference,W4_sem_difference,W4_effect_size_dz,W4_p_ttest,W4_p_fdr_ttest,W4_p_wilcoxon,W5_mean_difference,W5_sem_difference,W5_effect_size_dz,W5_p_ttest,W5_p_fdr_ttest,W5_p_wilcoxon,W4minusW5_mean_w4_minus_w5,W4minusW5_sem_w4_minus_w5,W4minusW5_p_ttest,W4minusW5_p_fdr_ttest,W4minusW5_p_wilcoxon,W4minusW5_effect_size_dz
"Scalp
late ROI",scalp_sens,late_roi,11,2.0794715942691404,0.4523752218136668,1.3859827996008345,0.0009849575323438,0.1280444792046951,0.0009765625,0.6348150613904537,0.725528841512442,0.2638130033797821,0.4021170346954186,0.6956861021679364,0.3203125,1.4446565328786867,0.930800986424131,0.15169614688669072,0.23470806762289315,0.123046875,0.4679629051046422
"Scalp
face ROI",scalp_sens,face_roi,11,2.1957941673593573,1.3213432377592156,0.5010483520839537,0.1275365506463621,0.518117237000846,0.1474609375,0.6432849659766776,0.664063189016201,0.292077197240272,0.3555348916543982,0.6956861021679364,0.365234375,1.5525092013826798,1.245929331601392,0.24114179763165983,0.28937015715799175,0.365234375,0.37570279863031586
"Scalp
central ROI",scalp_sens,central_roi,11,1.0679202057906856,0.3575625202986067,0.9005140048817536,0.0136512074166434,0.2014560444001817,0.0185546875,0.4902202614520271,0.7709663964343507,0.191716488362213,0.5391518338394345,0.7238391264861731,0.2783203125,0.5776999443386582,0.5580657044002914,0.3249681164636996,0.3249681164636996,0.2783203125,0.312119317862811
"Ear
strict",ear_strict_sens,ear_strict,11,1.803675927753316,0.653614095405683,0.8320333939890107,0.0201456044400181,0.2014560444001817,0.0537109375,0.3928738085936558,0.453585996772794,0.2611542488552527,0.4067087981904859,0.6956861021679364,0.3203125,1.41080211915966,0.550786234834311,0.02830351681835806,0.08491055045507417,0.0419921875,0.7723011523861869
"Ear
right",ear_full_sens,ear_right,11,1.6593980904201522,0.5821844304103914,0.8593966504388729,0.017241331300081,0.2014560444001817,0.013671875,0.2230687221896178,0.4576414413926924,0.1469660399546789,0.6364613472430998,0.7394223789462869,0.5771484375,1.436329368230534,0.4572402396258253,0.010486936428729311,0.06292161857237587,0.0185546875,0.9471379846754371
"Ear
full",ear_full_sens,ear_full,11,0.6354836749403122,0.4893586680910793,0.3915441776803479,0.2232261015083065,0.6866681236912675,0.013671875,0.4742319391523766,0.4269128877931859,0.3349308809923341,0.2926321963977566,0.6866681236912675,0.2783203125,0.1612517357879357,0.10524082300474918,0.15647204508192877,0.23470806762289315,0.0322265625,0.46198068662694464
