subject_id,modality,contrast,roi,requested_channels,used_channels,missing_channels,n_used_channels,n_a,n_b,status,note
200,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
201,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP8,O1,O2",TP7,5,320,80,ok,
202,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
203,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
205,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
206,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
208,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
209,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-209\scalp_sens-epo.fif
211,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,O1,O2",TP8,5,320,80,ok,
212,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-212\scalp_sens-epo.fif
213,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
214,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
215,scalp_sens,face_vs_nonface,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,320,80,ok,
200,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
201,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
202,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
203,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
205,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
206,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
208,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
209,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-209\scalp_sens-epo.fif
211,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
212,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-212\scalp_sens-epo.fif
213,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,320,80,ok,
214,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Pz",Cz,2,320,80,ok,
215,scalp_sens,face_vs_nonface,central_roi,"Fz,Cz,Pz","Fz,Pz",Cz,2,320,80,ok,
200,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
201,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
202,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
203,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
205,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,Cz",CP2,3,320,80,ok,
206,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
208,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
209,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-209\scalp_sens-epo.fif
211,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,320,80,ok,
212,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-212\scalp_sens-epo.fif
213,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,Cz","CP1,CP2",2,320,80,ok,
214,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2",Cz,3,320,80,ok,
215,scalp_sens,face_vs_nonface,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2",Cz,3,320,80,ok,
200,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
201,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP8,O1,O2",TP7,5,240,80,ok,
202,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
203,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
205,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
206,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
208,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
209,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-209\scalp_sens-epo.fif
211,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,O1,O2",TP8,5,240,80,ok,
212,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-212\scalp_sens-epo.fif
213,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
214,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
215,scalp_sens,emotional_vs_neutral,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,240,80,ok,
200,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
201,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4",ER3,10,320,80,ok,
202,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4",EL4,10,320,80,ok,
203,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
205,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
206,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
208,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
209,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
211,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
212,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
213,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-213\ear_full_sens-epo.fif
214,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,320,80,ok,
215,ear_full_sens,face_vs_nonface,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-215\ear_full_sens-epo.fif
200,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
201,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4",ER3,9,320,80,ok,
202,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4",EL4,9,320,80,ok,
203,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
205,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
