subject_id,modality,contrast,roi,requested_channels,used_channels,missing_channels,n_used_channels,n_a,n_b,status,note
206,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
208,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
209,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
211,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
212,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
213,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-213\ear_strict_sens-epo.fif
214,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,320,80,ok,
215,ear_strict_sens,face_vs_nonface,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-215\ear_strict_sens-epo.fif
200,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
201,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER4",ER3,3,320,80,ok,
202,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
203,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
205,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
206,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
208,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
209,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
211,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
212,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
213,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-213\ear_full_sens-epo.fif
214,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,320,80,ok,
215,ear_full_sens,face_vs_nonface,ear_right,"ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-215\ear_full_sens-epo.fif
200,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
201,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER4",ER3,3,240,80,ok,
202,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
203,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
205,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
206,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
208,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
209,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
211,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
212,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
213,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-213\ear_full_sens-epo.fif
214,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,240,80,ok,
215,ear_full_sens,emotional_vs_neutral,ear_right,"ER1,ER2,ER3,ER4",,,0,0,0,skipped,missing_epoch_file:output\processed\sub-215\ear_full_sens-epo.fif
